World Region,Country,target,value,Census Region,Census Division
Latin America/Caribbean,El Salvador,Washington,5,West,Pacific
Africa,Somalia,Washington,9,West,Pacific
East Asia,Vietnam,Washington,7,West,Pacific
Europe,Russia,Washington,106,West,Pacific
Europe,Ukraine,Washington,682,West,Pacific
Near East/South Asia,Bhutan,Washington,27,West,Pacific
Africa,Central African Republic,Washington,9,West,Pacific
Africa,Eritrea,Washington,38,West,Pacific
Africa,Ethiopia,Washington,10,West,Pacific
Near East/South Asia,Iraq,Washington,4,West,Pacific
Europe,Moldova,Washington,56,West,Pacific
Near East/South Asia,Pakistan,Washington,3,West,Pacific
Africa,Senegal,Washington,3,West,Pacific
Europe,Belarus,Washington,23,West,Pacific
Near East/South Asia,Iran,Washington,3,West,Pacific
Europe,Kazakhstan,Washington,10,West,Pacific
Africa,Rwanda,Washington,5,West,Pacific
Europe,Uzbekistan,Washington,4,West,Pacific
Africa,Cameroon,Washington,1,West,Pacific
Africa,Sudan,Washington,3,West,Pacific
East Asia,China,Washington,1,West,Pacific
Europe,Kyrgyzstan,Washington,1,West,Pacific
Africa,Djibouti,Washington,1,West,Pacific
Africa,Kenya,Washington,2,West,Pacific
East Asia,Burma,Wisconsin,232,Midwest,East North Central
Africa,Dem. Rep. Congo,Wisconsin,48,Midwest,East North Central
Africa,Somalia,Wisconsin,17,Midwest,East North Central
Near East/South Asia,Afghanistan,Wisconsin,7,Midwest,East North Central
Africa,Eritrea,Wisconsin,1,Midwest,East North Central
Near East/South Asia,Pakistan,Wisconsin,13,Midwest,East North Central
Latin America/Caribbean,Honduras,Wisconsin,2,Midwest,East North Central
Africa,Dem. Rep. Congo,Arkansas,33,South,West South Central
Europe,Ukraine,Arkansas,8,South,West South Central
Africa,Ethiopia,Arkansas,2,South,West South Central
Latin America/Caribbean,Honduras,Arkansas,1,South,West South Central
Africa,Dem. Rep. Congo,Delaware,7,South,South Atlantic
Near East/South Asia,Afghanistan,Delaware,2,South,South Atlantic
Africa,Central African Republic,Delaware,3,South,South Atlantic
Near East/South Asia,Pakistan,Delaware,3,South,South Atlantic
Africa,Dem. Rep. Congo,Maine,40,Northeast,New England
Africa,Somalia,Maine,6,Northeast,New England
Africa,Eritrea,Maine,1,Northeast,New England
Africa,Ethiopia,Maine,5,Northeast,New England
Near East/South Asia,Iraq,Maine,9,Northeast,New England
Africa,Dem. Rep. Congo,Mississippi,2,South,East South Central
Africa,Dem. Rep. Congo,Montana,58,West,Mountain
Africa,Eritrea,Montana,27,West,Mountain
Africa,Dem. Rep. Congo,Nevada,81,West,Mountain
Latin America/Caribbean,El Salvador,Nevada,4,West,Mountain
Near East/South Asia,Afghanistan,Nevada,18,West,Mountain
Near East/South Asia,Bhutan,Nevada,8,West,Mountain
Latin America/Caribbean,Colombia,Nevada,1,West,Mountain
Africa,Eritrea,Nevada,31,West,Mountain
Africa,Ethiopia,Nevada,5,West,Mountain
Near East/South Asia,Iraq,Nevada,3,West,Mountain
Near East/South Asia,Pakistan,Nevada,2,West,Mountain
Africa,Senegal,Nevada,4,West,Mountain
Near East/South Asia,Iran,Nevada,3,West,Mountain
Near East/South Asia,Syria,Nevada,3,West,Mountain
Africa,Cameroon,Nevada,3,West,Mountain
Africa,Niger,Nevada,1,West,Mountain
Africa,Dem. Rep. Congo,New Mexico,30,West,Mountain
Near East/South Asia,Afghanistan,New Mexico,11,West,Mountain
Africa,Burundi,New Mexico,10,West,Mountain
Africa,Rwanda,New Mexico,2,West,Mountain
Africa,Dem. Rep. Congo,North Dakota,42,Midwest,West North Central
Europe,Ukraine,North Dakota,7,Midwest,West North Central
Near East/South Asia,Afghanistan,North Dakota,10,Midwest,West North Central
Near East/South Asia,Bhutan,North Dakota,96,Midwest,West North Central
Africa,Angola,North Dakota,1,Midwest,West North Central
Africa,Dem. Rep. Congo,Rhode Island,39,Northeast,New England
Latin America/Caribbean,El Salvador,Rhode Island,1,Northeast,New England
Africa,Somalia,Rhode Island,1,Northeast,New England
Near East/South Asia,Afghanistan,Rhode Island,4,Northeast,New England
Africa,Burundi,Rhode Island,2,Northeast,New England
Latin America/Caribbean,Colombia,Rhode Island,3,Northeast,New England
Africa,Eritrea,Rhode Island,9,Northeast,New England
Near East/South Asia,Iraq,Rhode Island,3,Northeast,New England
Africa,Liberia,Rhode Island,1,Northeast,New England
Africa,Dem. Rep. Congo,Virginia,129,South,South Atlantic
Latin America/Caribbean,El Salvador,Virginia,60,South,South Atlantic
Africa,Somalia,Virginia,2,South,South Atlantic
East Asia,Vietnam,Virginia,4,South,South Atlantic
Europe,Russia,Virginia,2,South,South Atlantic
Europe,Ukraine,Virginia,4,South,South Atlantic
Near East/South Asia,Afghanistan,Virginia,45,South,South Atlantic
Near East/South Asia,Bhutan,Virginia,38,South,South Atlantic
Africa,Burundi,Virginia,2,South,South Atlantic
Latin America/Caribbean,Colombia,Virginia,2,South,South Atlantic
Africa,Eritrea,Virginia,15,South,South Atlantic
Africa,Ethiopia,Virginia,1,South,South Atlantic
Near East/South Asia,Iraq,Virginia,4,South,South Atlantic
Africa,Ivory Coast,Virginia,1,South,South Atlantic
Near East/South Asia,Pakistan,Virginia,17,South,South Atlantic
Latin America/Caribbean,Honduras,Virginia,2,South,South Atlantic
Near East/South Asia,Syria,Virginia,2,South,South Atlantic
Europe,Russia,Alaska,6,West,Pacific
Europe,Ukraine,Alaska,16,West,Pacific
Africa,Eritrea,District of Columbia,1,South,South Atlantic
Africa,Uganda,West Virginia,1,South,South Atlantic
