World Region,Country,target,value
Latin America/Caribbean,Honduras,South Carolina,3
Near East/South Asia,Iran,South Carolina,19
Near East/South Asia,Iraq,South Carolina,185
Africa,Kenya,South Carolina,4
East Asia,Laos,South Carolina,3
Europe,Moldova,South Carolina,5
Near East/South Asia,Pakistan,South Carolina,1
Near East/South Asia,Palestine,South Carolina,5
Europe,Russia,South Carolina,4
Africa,Rwanda,South Carolina,4
Africa,Somalia,South Carolina,35
Africa,Sudan,South Carolina,1
Near East/South Asia,Syria,South Carolina,49
Europe,Ukraine,South Carolina,267
East Asia,Vietnam,South Carolina,8
Near East/South Asia,Afghanistan,South Dakota,2
Near East/South Asia,Bhutan,South Dakota,1352
East Asia,Burma,South Dakota,1072
Africa,Burundi,South Dakota,38
East Asia,Cambodia,South Dakota,1
Africa,Chad,South Dakota,10
Africa,Dem. Rep. Congo,South Dakota,326
Latin America/Caribbean,El Salvador,South Dakota,5
Africa,Eritrea,South Dakota,445
Africa,Ethiopia,South Dakota,82
Africa,Guinea,South Dakota,6
Near East/South Asia,Iran,South Dakota,5
Near East/South Asia,Iraq,South Dakota,182
Africa,Liberia,South Dakota,13
Near East/South Asia,Nepal,South Dakota,1
Near East/South Asia,Pakistan,South Dakota,4
Near East/South Asia,Palestine,South Dakota,10
Africa,Republic of South Sudan,South Dakota,6
Europe,Russia,South Dakota,2
Africa,Somalia,South Dakota,464
Africa,Sudan,South Dakota,118
Near East/South Asia,Syria,South Dakota,4
Europe,Ukraine,South Dakota,77
Near East/South Asia,Afghanistan,Tennessee,99
Near East/South Asia,Bangladesh,Tennessee,1
Near East/South Asia,Bhutan,Tennessee,1606
East Asia,Burma,Tennessee,2482
Africa,Burundi,Tennessee,189
Africa,Central African Republic,Tennessee,8
Africa,Chad,Tennessee,5
East Asia,China,Tennessee,1
Latin America/Caribbean,Colombia,Tennessee,134
Africa,Congo,Tennessee,8
Latin America/Caribbean,Cuba,Tennessee,394
Africa,Dem. Rep. Congo,Tennessee,1854
Near East/South Asia,Egypt,Tennessee,10
Latin America/Caribbean,El Salvador,Tennessee,28
Africa,Eritrea,Tennessee,177
Africa,Ethiopia,Tennessee,111
Africa,Gambia,Tennessee,2
Latin America/Caribbean,Honduras,Tennessee,5
Near East/South Asia,Iran,Tennessee,154
Near East/South Asia,Iraq,Tennessee,2446
Africa,Ivory Coast,Tennessee,1
Europe,Kazakhstan,Tennessee,7
Africa,Kenya,Tennessee,3
East Asia,"Korea, North",Tennessee,6
Europe,Kyrgyzstan,Tennessee,4
Africa,Liberia,Tennessee,5
Europe,Moldova,Tennessee,17
Near East/South Asia,Morocco,Tennessee,2
Near East/South Asia,Nepal,Tennessee,7
Near East/South Asia,Pakistan,Tennessee,41
Near East/South Asia,Palestine,Tennessee,26
Africa,Republic of South Sudan,Tennessee,62
Europe,Russia,Tennessee,12
Africa,Rwanda,Tennessee,37
Africa,Sierra Leone,Tennessee,1
Africa,Somalia,Tennessee,1548
Africa,Sudan,Tennessee,344
Near East/South Asia,Syria,Tennessee,397
Africa,Uganda,Tennessee,6
Europe,Ukraine,Tennessee,111
Europe,Uzbekistan,Tennessee,9
East Asia,Vietnam,Tennessee,7
Africa,Zimbabwe,Tennessee,5
Near East/South Asia,Afghanistan,Texas,746
Europe,Azerbaijan,Texas,5
Europe,Belarus,Texas,1
Africa,Benin,Texas,3
Near East/South Asia,Bhutan,Texas,5908
East Asia,Burma,Texas,16850
Africa,Burundi,Texas,464
East Asia,Cambodia,Texas,7
Africa,Cameroon,Texas,9
Africa,Central African Republic,Texas,131
Africa,Chad,Texas,25
East Asia,China,Texas,10
Latin America/Caribbean,Colombia,Texas,90
Africa,Congo,Texas,63
Latin America/Caribbean,Cuba,Texas,1238
Africa,Dem. Rep. Congo,Texas,7541
Near East/South Asia,Egypt,Texas,4
Latin America/Caribbean,El Salvador,Texas,321
Africa,Eritrea,Texas,1731
Africa,Ethiopia,Texas,442
Africa,Gabon,Texas,1
Africa,Gambia,Texas,8
Latin America/Caribbean,Guatemala,Texas,23
Africa,Guinea,Texas,3
Latin America/Caribbean,Honduras,Texas,62
Near East/South Asia,India,Texas,1
East Asia,Indonesia,Texas,1
Near East/South Asia,Iran,Texas,2297
Near East/South Asia,Iraq,Texas,11573
Africa,Ivory Coast,Texas,35
Near East/South Asia,Jordan,Texas,6
Africa,Kenya,Texas,8
East Asia,"Korea, North",Texas,8
Near East/South Asia,Kuwait,Texas,21
Europe,Kyrgyzstan,Texas,5
Near East/South Asia,Lebanon,Texas,1
Africa,Liberia,Texas,26
East Asia,Malaysia,Texas,3
Africa,Mali,Texas,1
Africa,Mauritania,Texas,26
Europe,Moldova,Texas,10
Near East/South Asia,Nepal,Texas,20
Europe,Netherlands,Texas,1
Africa,Nigeria,Texas,4
Europe,Norway,Texas,1
Near East/South Asia,Pakistan,Texas,185
Near East/South Asia,Palestine,Texas,258
Africa,Republic of South Sudan,Texas,32
Europe,Russia,Texas,17
Africa,Rwanda,Texas,207
Africa,Senegal,Texas,5
Africa,Sierra Leone,Texas,5
Africa,Somalia,Texas,3836
Africa,South Africa,Texas,1
Near East/South Asia,Sri Lanka (Ceylon),Texas,74
Africa,Sudan,Texas,648
Near East/South Asia,Syria,Texas,1624
East Asia,Thailand,Texas,2
Africa,Togo,Texas,15
Near East/South Asia,Turkey,Texas,1
Europe,Turkmenistan,Texas,5
Africa,Uganda,Texas,18
Europe,Ukraine,Texas,38
Europe,Uzbekistan,Texas,2
Latin America/Caribbean,Venezuela,Texas,2
East Asia,Vietnam,Texas,161
Near East/South Asia,Yemen,Texas,2
Africa,Zambia,Texas,2
Africa,Zimbabwe,Texas,9
Near East/South Asia,Afghanistan,Utah,154
Africa,Angola,Utah,1
Europe,Belarus,Utah,1
Europe,Belgium,Utah,2
Near East/South Asia,Bhutan,Utah,988
East Asia,Burma,Utah,1473
Africa,Burundi,Utah,151
East Asia,Cambodia,Utah,1
Africa,Central African Republic,Utah,108
Africa,Chad,Utah,1
East Asia,China,Utah,4
Latin America/Caribbean,Colombia,Utah,6
Africa,Congo,Utah,1
Latin America/Caribbean,Cuba,Utah,50
Africa,Dem. Rep. Congo,Utah,1364
Africa,Djibouti,Utah,2
Near East/South Asia,Egypt,Utah,1
Latin America/Caribbean,El Salvador,Utah,9
Africa,Eritrea,Utah,327
Africa,Ethiopia,Utah,101
Europe,Georgia,Utah,3
Latin America/Caribbean,Guatemala,Utah,4
Africa,Guinea,Utah,9
Near East/South Asia,Iran,Utah,216
Near East/South Asia,Iraq,Utah,1388
Africa,Ivory Coast,Utah,27
East Asia,"Korea, North",Utah,19
Africa,Liberia,Utah,1
Europe,Moldova,Utah,9
Near East/South Asia,Nepal,Utah,6
Africa,Nigeria,Utah,2
Near East/South Asia,Pakistan,Utah,23
Near East/South Asia,Palestine,Utah,32
Africa,Republic of South Sudan,Utah,40
Europe,Russia,Utah,2
Africa,Rwanda,Utah,25
Africa,Somalia,Utah,1610
Near East/South Asia,Sri Lanka (Ceylon),Utah,55
Africa,Sudan,Utah,354
Near East/South Asia,Syria,Utah,114
East Asia,Thailand,Utah,1
Africa,Togo,Utah,5
Africa,Uganda,Utah,5
Europe,Ukraine,Utah,4
Near East/South Asia,Yemen,Utah,1
Near East/South Asia,Bhutan,Vermont,1704
East Asia,Burma,Vermont,194
Africa,Burundi,Vermont,19
Africa,Congo,Vermont,1
Africa,Dem. Rep. Congo,Vermont,362
Africa,Eritrea,Vermont,2
Africa,Ethiopia,Vermont,2
Near East/South Asia,India,Vermont,1
Near East/South Asia,Iran,Vermont,3
Near East/South Asia,Iraq,Vermont,132
Near East/South Asia,Nepal,Vermont,14
Africa,Rwanda,Vermont,1
Africa,Somalia,Vermont,276
Africa,Sudan,Vermont,15
Near East/South Asia,Syria,Vermont,14
Near East/South Asia,Afghanistan,Virginia,561
Europe,Belarus,Virginia,1
Near East/South Asia,Bhutan,Virginia,2157
East Asia,Burma,Virginia,625
Africa,Burundi,Virginia,77
East Asia,Cambodia,Virginia,5
Africa,Cameroon,Virginia,1
East Asia,China,Virginia,10
Latin America/Caribbean,Colombia,Virginia,135
Africa,Congo,Virginia,11
Latin America/Caribbean,Cuba,Virginia,280
Africa,Dem. Rep. Congo,Virginia,1339
Latin America/Caribbean,El Salvador,Virginia,275
Africa,Eritrea,Virginia,386
Africa,Ethiopia,Virginia,72
Africa,Gambia,Virginia,1
Latin America/Caribbean,Guatemala,Virginia,10
Latin America/Caribbean,Honduras,Virginia,14
Near East/South Asia,India,Virginia,1
Near East/South Asia,Iran,Virginia,608
Near East/South Asia,Iraq,Virginia,3327
Africa,Ivory Coast,Virginia,20
Europe,Kazakhstan,Virginia,7
Africa,Kenya,Virginia,6
East Asia,"Korea, North",Virginia,2
Europe,Kyrgyzstan,Virginia,14
Africa,Liberia,Virginia,4
Europe,Moldova,Virginia,4
Near East/South Asia,Nepal,Virginia,5
Near East/South Asia,Pakistan,Virginia,191
Near East/South Asia,Palestine,Virginia,65
Africa,Republic of South Sudan,Virginia,13
Europe,Russia,Virginia,31
Africa,Rwanda,Virginia,27
Africa,Sierra Leone,Virginia,4
Africa,Somalia,Virginia,425
Near East/South Asia,Sri Lanka (Ceylon),Virginia,2
Africa,Sudan,Virginia,273
Near East/South Asia,Syria,Virginia,361
Near East/South Asia,Tunisia,Virginia,1
Europe,Turkmenistan,Virginia,5
Africa,Uganda,Virginia,7
Europe,Ukraine,Virginia,113
Near East/South Asia,United Arab Emirates,Virginia,1
Europe,Uzbekistan,Virginia,7
East Asia,Vietnam,Virginia,18
Near East/South Asia,Yemen,Virginia,1
Near East/South Asia,Afghanistan,Washington,202
Europe,Armenia,Washington,7
Europe,Belarus,Washington,166
Near East/South Asia,Bhutan,Washington,1811
East Asia,Burma,Washington,3347
Africa,Burundi,Washington,46
East Asia,Cambodia,Washington,5
Africa,Cameroon,Washington,4
Africa,Central African Republic,Washington,41
Africa,Chad,Washington,1
East Asia,China,Washington,6
Latin America/Caribbean,Colombia,Washington,114
Africa,Congo,Washington,10
Latin America/Caribbean,Cuba,Washington,209
Africa,Dem. Rep. Congo,Washington,952
Africa,Djibouti,Washington,1
Near East/South Asia,Egypt,Washington,2
Latin America/Caribbean,El Salvador,Washington,14
Africa,Eritrea,Washington,879
Africa,Ethiopia,Washington,381
Africa,Gambia,Washington,1
Europe,Georgia,Washington,73
Latin America/Caribbean,Guatemala,Washington,2
Africa,Guinea,Washington,3
Latin America/Caribbean,Honduras,Washington,1
Near East/South Asia,Iran,Washington,1040
Near East/South Asia,Iraq,Washington,3822
Near East/South Asia,Jordan,Washington,2
Europe,Kazakhstan,Washington,90
Africa,Kenya,Washington,6
East Asia,"Korea, North",Washington,1
Europe,Kyrgyzstan,Washington,83
East Asia,Laos,Washington,10
Near East/South Asia,Lebanon,Washington,1
Africa,Liberia,Washington,2
Europe,Moldova,Washington,812
Near East/South Asia,Nepal,Washington,7
Near East/South Asia,Oman,Washington,1
Near East/South Asia,Pakistan,Washington,67
Near East/South Asia,Palestine,Washington,28
East Asia,Philippines,Washington,2
Africa,Republic of South Sudan,Washington,4
Europe,Russia,Washington,597
Africa,Rwanda,Washington,42
Africa,Senegal,Washington,7
Africa,Somalia,Washington,2637
Near East/South Asia,Sri Lanka (Ceylon),Washington,6
Africa,Sudan,Washington,308
Near East/South Asia,Syria,Washington,254
Africa,Togo,Washington,8
Near East/South Asia,Tunisia,Washington,1
Europe,Turkmenistan,Washington,15
Africa,Uganda,Washington,2
Europe,Ukraine,Washington,5778
Europe,Uzbekistan,Washington,40
East Asia,Vietnam,Washington,79
East Asia,Burma,West Virginia,49
Africa,Eritrea,West Virginia,42
Africa,Ethiopia,West Virginia,2
Near East/South Asia,Iran,West Virginia,5
Near East/South Asia,Iraq,West Virginia,54
Near East/South Asia,Syria,West Virginia,7
Africa,Uganda,West Virginia,4
Near East/South Asia,Afghanistan,Wisconsin,70
Europe,Belarus,Wisconsin,3
Near East/South Asia,Bhutan,Wisconsin,371
East Asia,Burma,Wisconsin,5076
Africa,Burundi,Wisconsin,25
Africa,Central African Republic,Wisconsin,3
East Asia,China,Wisconsin,8
Latin America/Caribbean,Colombia,Wisconsin,9
Latin America/Caribbean,Cuba,Wisconsin,50
Africa,Dem. Rep. Congo,Wisconsin,875
Africa,Eritrea,Wisconsin,174
Africa,Ethiopia,Wisconsin,34
Latin America/Caribbean,Honduras,Wisconsin,3
Near East/South Asia,Iran,Wisconsin,9
Near East/South Asia,Iraq,Wisconsin,1049
East Asia,Laos,Wisconsin,54
Near East/South Asia,Nepal,Wisconsin,4
Near East/South Asia,Pakistan,Wisconsin,68
Near East/South Asia,Palestine,Wisconsin,56
Africa,Republic of South Sudan,Wisconsin,3
Africa,Rwanda,Wisconsin,11
Africa,Somalia,Wisconsin,1058
Near East/South Asia,Sri Lanka (Ceylon),Wisconsin,1
Africa,Sudan,Wisconsin,92
Near East/South Asia,Syria,Wisconsin,194
East Asia,Thailand,Wisconsin,1
Africa,Uganda,Wisconsin,1
Europe,Ukraine,Wisconsin,30
East Asia,Vietnam,Wisconsin,29
Africa,Somalia,Wyoming,1
